2.5YR,c2,c4,c6,c8,c10,c12,c14,c16,c18,c20,c22,c24,c26,c28
v9,F7E1D7,FFDBC2,FFD6AF, , , , , , , , , , , 
v8,DBC6BD,EFC1AA,FEBC99,FFB687,FFB174,FFAB5F, , , , , , , , 
v7,C1ABA1,D2A691,E1A180,EF9C70,FA965F,FF9148,FF8B2C, , , , , , , 
v6,A89086,B78C78,C58668,D28158,DD7C45,E6762F,EE710A, , , , , , , 
v5,8D766D,9C715F,AA6C4F,B6663D,BF612A,C75C0F, , , , , , , , 
v4,745C53,825745,8E5237,984C26,A0470F, , , , , , , , , 
v3,5B433B,673E2F,723820,7B320E, , , , , , , , , , 
v2,412D27,4D271D,572111, , , , , , , , , , , 
v1,2D1714,380F0A,410302, , , , , , , , , , , 
