10BG	c2	c4	c6	c8	c10	c12	c14	c16	c18	c20	c22	c24	c26	c28
v9	CDECEB	AEF2F2	87F7F9	 	 	 	 	 	 	 	 	 	 	 
v8	B3D0D0	97D5D6	76DADD	42DEE4	 	 	 	 	 	 	 	 	 	 
v7	99B5B6	7EBABC	5FBEC3	1DC2CA	 	 	 	 	 	 	 	 	 	 
v6	7F9A9B	649FA3	3CA3AA	 	 	 	 	 	 	 	 	 	 	 
v5	668082	4B8489	1A8891	 	 	 	 	 	 	 	 	 	 	 
v4	4D6668	2E6A70	 	 	 	 	 	 	 	 	 	 	 	 
v3	354C50	0D5058	 	 	 	 	 	 	 	 	 	 	 	 
v2	213538	 	 	 	 	 	 	 	 	 	 	 	 	 
v1	0A2024	 	 	 	 	 	 	 	 	 	 	 	 	 
